Grupo;C�digo de barras;Art�culo;deposito 1;deposito 2;deposito 3;deposito 4;deposito 5
GRIFERIAS VARIAS;GVC-HERA;GRIFERIA VASSER HERA 19/2302;10;;1;1;
GRIFERIAS VARIAS;GVC-LYRABD;GRIFERIA VASSER LYRA BASE DUO 10/2302.01;6;;;1;
GRIFERIAS VARIAS;GVC-ODESSA;GRIFERIA VASSER ODESSA 16/2302;7;1;;1;
GRIFERIAS VARIAS;GVC-RHODA/ TROYA;GRIFERIA VASSER RHODA/TROYA  15/2302;19;3;1;;
GRIFERIAS VARIAS;GVC-TITANIA;GRIFERIA VASSER TITANIA 17/2302;6;;;1;
GRIFERIAS VARIAS;GVC-VEGALEVER;GRIFERIA VASSER VEGA LEVER 20/2301 L;10;;2;;
GRIFERIAS VARIAS;GVC-ZAFIRO-CROMO;GRIFERIA VASSER ZAFIRO MONO CROMO 12/2302;;;1;;
GRIFERIAS VARIAS;GVC-ZAFIRO-NEGRO;GRIFERIA VASSER ZAFIRO MONO NEGRO 12/2302NG;1;;1;;
HORNOS ORMAY;ORHOR-HE60-A2;HORNO H.E.60 A2;;1;1;;
HORNOS ORMAY;ORHOR-HE60-A3;HORNO H.E.60 A3;;;1;1;
HORNOS ORMAY;ORHOR-HE60-A4;HORNO H.E.60 A4;;;1;1;
MUEBLES ACCESORIOS;MACC-ESCURRE-560;ESCURREPLATOS ALACENA 560;;;1;;
MUEBLES ACCESORIOS;MACC-ESCURRE-760;ESCURREPLATOS ALACENA 760;;;1;;
MUEBLES ACCESORIOS;MACC-ESCURRE-860;ESCURREPLATOS ALACENA 860;;;1;;
MUEBLES ACCESORIOS;MACC-PISOAL-0.80;PISO DE ALUMINIO DE 80 CM;3;;;;
MUEBLES ACCESORIOS;MACC-PISOAL-120;PISO DE ALUMINIO DE 120 CM;2;;;;
MUEBLES ACCESORIOS;MACC-PORTARES- ACERO-15L-10714-MOD400;PORTA RESIDUO ACERO INOX 15LTS INOX DIF;1;;;1;
MUEBLES ACCESORIOS;MACC-PORTARES- FARK-3017-10lt;PORTA RESIDUO ACERO INOX 10LTS FARK-3017;1;;1;;
MUEBLES ACCESORIOS;MACC-PORTARES-DOBLE;PORTA RESIDUO DOBLE CUADRADO;;;1;;
MUEBLES ACCESORIOS;MACCH-PRES-13l-5325-502.01.923;PORTARESIDUOS INOX HAFELE DE13 LTS;1;;1;;
